HVL 8 10 12 14 16 18 Glandularity "breast height"
1.25 0.467 0.418 0.378 0.345 0.316 0.293 50% 1.5x
1.30 0.478 0.428 0.387 0.354 0.325 0.3 50% 1.5x
1.35 0.488 0.438 0.397 0.363 0.334 0.309 50% 1.5x
1.40 0.498 0.447 0.406 0.372 0.342 0.317 50% 1.5x
1.45 0.507 0.457 0.415 0.38 0.35 0.324 50% 1.5x
1.50 0.516 0.465 0.423 0.388 0.357 0.331 50% 1.5x
1.25 0.411 0.362 0.324 0.292 0.266 0.245 100% 1.5x
1.30 0.421 0.371 0.332 0.3 0.274 0.252 100% 1.5x
1.35 0.431 0.381 0.341 0.309 0.281 0.259 100% 1.5x
1.40 0.44 0.39 0.35 0.317 0.289 0.266 100% 1.5x
1.45 0.449 0.399 0.358 0.324 0.296 0.272 100% 1.5x
1.50 0.458 0.407 0.366 0.331 0.303 0.279 100% 1.5x
1.25 0.545 0.496 0.454 0.418 0.386 0.358 0.1% 2x
1.30 0.555 0.507 0.464 0.428 0.396 0.367 0.1% 2x
1.35 0.566 0.518 0.475 0.438 0.406 0.377 0.1% 2x
1.40 0.577 0.528 0.485 0.448 0.415 0.386 0.1% 2x
1.45 0.587 0.538 0.495 0.458 0.424 0.395 0.1% 2x
1.50 0.596 0.547 0.504 0.466 0.433 0.403 0.1% 2x
1.25 0.523 0.473 0.431 0.395 0.364 0.337 14.3% 2x
1.30 0.534 0.484 0.442 0.405 0.373 0.346 14.3% 2x
1.35 0.545 0.495 0.452 0.415 0.383 0.355 14.3% 2x
1.40 0.555 0.505 0.462 0.425 0.392 0.364 14.3% 2x
1.45 0.565 0.515 0.472 0.434 0.401 0.372 14.3% 2x
1.50 0.574 0.524 0.481 0.443 0.41 0.38 14.3% 2x
1.25 0.51 0.459 0.417 0.381 0.35 0.323 25% 2x
1.30 0.52 0.47 0.427 0.391 0.359 0.332 25% 2x
1.35 0.531 0.481 0.437 0.401 0.369 0.341 25% 2x
1.40 0.542 0.491 0.447 0.41 0.378 0.35 25% 2x
1.45 0.552 0.5 0.457 0.419 0.386 0.358 25% 2x
1.50 0.561 0.51 0.466 0.428 0.395 0.366 25% 2x
1.25 0.477 0.425 0.384 0.348 0.319 0.293 50% 2x
1.30 0.487 0.436 0.393 0.358 0.327 0.301 50% 2x
1.35 0.498 0.446 0.403 0.367 0.336 0.31 50% 2x
1.40 0.509 0.456 0.413 0.376 0.345 0.318 50% 2x
1.45 0.518 0.466 0.422 0.385 0.353 0.325 50% 2x
1.50 0.527 0.475 0.431 0.393 0.361 0.333 50% 2x
1.25 0.418 0.368 0.328 0.295 0.267 0.244 100% 2x
1.30 0.429 0.377 0.336 0.303 0.275 0.251 100% 2x
1.35 0.439 0.387 0.346 0.311 0.283 0.259 100% 2x
1.40 0.449 0.397 0.354 0.319 0.29 0.266 100% 2x
1.45 0.458 0.405 0.363 0.327 0.298 0.273 100% 2x
1.50 0.467 0.414 0.371 0.335 0.304 0.279 100% 2x
